FeedCreatedDateTime	PrintPriceLastModifiedDateTime	Currency	PrintCode	PrintTechnique	MOQPrintOrder	SetupNet	PrintSampleNet	SmallOrderChargeNet	NrOfColors	FullColor	VariableDataPrinting	PrintArea	PrintAreaFromCM2	PrintAreaToCM2	PrintPriceNet_1	PrintPriceNet_50	PrintPriceNet_100	PrintPriceNet_250	PrintPriceNet_500	PrintPriceNet_1000	PrintPriceNet_2500	PrintPriceNet_5000	PrintPriceNet_10000	PrintPriceGross_1	PrintPriceGross_50	PrintPriceGross_100	PrintPriceGross_250	PrintPriceGross_500	PrintPriceGross_1000	PrintPriceGross_2500	PrintPriceGross_5000	PrintPriceGross_10000
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	Printed badge	Bedrukte patch met borduurrand	1	47.00	47.00	0		True	True	50 - 75 cm2	50	75	4.68	3.69	3.19	2.81	2.59	2.37	2.37	2.37	2.37	8.21	6.47	5.60	4.93	4.54	4.16	4.16	4.16	4.16
2023-07-31T11:17:24	2023-03-28T09:31:54	EUR	PU Label Balti Black	PU label Baltimore zwart	1	47.00	47.00	0			True				3.85	2.97	2.64	2.31	2.15	1.98	1.98	1.98	1.98	6.75	5.21	4.63	4.05	3.77	3.47	3.47	3.47	3.47
2023-07-31T11:17:24	2023-03-28T09:41:28	EUR	PU Label Balti Green	PU label Baltimore groen	1	47.00	47.00	0			True				3.85	2.97	2.64	2.31	2.15	1.98	1.98	1.98	1.98	6.75	5.21	4.63	4.05	3.77	3.47	3.47	3.47	3.47
2023-07-31T11:17:24	2023-03-28T09:40:55	EUR	PU Label Balti Navy	PU label Baltimore marineblauw	1	47.00	47.00	0			True				3.85	2.97	2.64	2.31	2.15	1.98	1.98	1.98	1.98	6.75	5.21	4.63	4.05	3.77	3.47	3.47	3.47	3.47
2023-07-31T11:17:24	2023-03-28T09:42:11	EUR	PU Label Sortino	PU label Sortino	1	47.00	47.00	0			True				3.85	2.97	2.64	2.31	2.15	1.98	1.98	1.98	1.98	6.75	5.21	4.63	4.05	3.77	3.47	3.47	3.47	3.47
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Screen Transfer OS	Zeefdruk transfer	1	37.00	37.00	0.00	1						1.91	1.33	1.03	0.88	0.83	0.79	0.73	0.69	0.67	3.35	2.33	1.81	1.54	1.46	1.39	1.28	1.21	1.18
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Screen Transfer OS	Zeefdruk transfer	1	74.00	74.00	0.00	2						2.52	2.00	1.41	1.17	1.07	1.00	0.94	0.89	0.86	4.42	3.51	2.47	2.05	1.88	1.75	1.65	1.56	1.51
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Screen Transfer OS	Zeefdruk transfer	1	111.00	111.00	0.00	3						3.12	2.66	1.78	1.44	1.31	1.22	1.13	1.10	1.06	5.47	4.67	3.12	2.53	2.30	2.14	1.98	1.93	1.86
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Screen Transfer OS	Zeefdruk transfer	1	148.00	148.00	0.00	4						3.73	3.33	2.16	1.72	1.55	1.44	1.34	1.31	1.24	6.54	5.84	3.79	3.02	2.72	2.53	2.35	2.30	2.18
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Screen Transfer OS	Zeefdruk transfer	1	185.00	185.00	0.00	5						4.33	3.99	2.53	2.00	1.79	1.66	1.55	1.52	1.44	7.60	7.00	4.44	3.51	3.14	2.91	2.72	2.67	2.53
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Screen Transfer OS	Zeefdruk transfer	1	222.00	222.00	0.00	6						4.94	4.66	2.90	2.28	2.04	1.88	1.76	1.72	1.64	8.67	8.18	5.09	4.00	3.58	3.30	3.09	3.02	2.88
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	SilkScreen	Zeefdruk	1	37.00	37.00	0.00	1						1.53	0.95	0.83	0.75	0.65	0.57	0.51	0.45	0.43	2.68	1.67	1.46	1.32	1.14	1.00	0.89	0.79	0.75
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	SilkScreen Round	Zeefdruk rond	1	37.00	37.00	0.00	1						1.79	1.20	0.72	0.65	0.57	0.52	0.47	0.46	0.45	3.14	2.11	1.26	1.14	1.00	0.91	0.82	0.81	0.79
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	SilkScreen Round	Zeefdruk rond	1	74.00	74.00	0.00	2						2.21	1.66	1.05	0.91	0.79	0.74	0.69	0.65	0.63	3.88	2.91	1.84	1.60	1.39	1.30	1.21	1.14	1.11
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Sublimation	Sublimatie	1	37.00	37.00	0		True					3.63	1.93	1.32	1.16	1.05	0.97	0.97	0.97	0.97	6.37	3.39	2.32	2.04	1.84	1.70	1.70	1.70	1.70
2023-07-31T11:17:24	2022-10-25T15:04:42	EUR	Ukiyo Card	Ukiyo Card	1	0		0		True					0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
