FeedCreatedDateTime	ItemPriceLastModifiedDateTime	Currency	ModelCode	ItemCode	ItemName	NonStandardDiscount	Outlet	AllPrintCodes	MOQBlankOrder	Qty1	Qty2	Qty3	Qty4	Qty5	Qty6	ItemPriceNet_Qty1	ItemPriceNet_Qty2	ItemPriceNet_Qty3	ItemPriceNet_Qty4	ItemPriceNet_Qty5	ItemPriceNet_Qty6	ItemPriceGross_Qty1	ItemPriceGross_Qty2	ItemPriceGross_Qty3	ItemPriceGross_Qty4	ItemPriceGross_Qty5	ItemPriceGross_Qty6	AdditionalCostDesc	AdditionalCost
2023-09-18T11:27:09	2022-09-29T12:31:44	EUR	P453.39	P453.397	Impact AWARE™ Polylana® dubbel gebreide muts, groen			Embroidery,Printed badge,Leather badge	1	1	100	250	500	1000	1500	3.83	3.73	3.63	3.53	3.46	3.39	6.72	6.55	6.37	6.19	6.07	5.95		
2023-09-18T11:27:09	2022-10-24T15:19:19	EUR	P453.40	P453.403	Voetbal maat 5, wit			Pad Print	1	1	100	250	500	1000	1500	6.41	6.25	6.08	5.91	5.79	5.68	11.25	10.96	10.66	10.36	10.16	9.96		
2023-09-18T11:27:09	2023-04-18T14:13:45	EUR	P453.41	P453.411	Strandtennis set, zwart			Pad Print,SilkScreen	1	1	250	500	1000	2500	5000	1.93	1.88	1.82	1.77	1.74	1.70	3.38	3.29	3.20	3.11	3.05	2.99		
2023-09-18T11:27:09	2023-04-18T14:13:45	EUR	P453.41	P453.415	Strandtennis set, blauw			Pad Print,SilkScreen	1	1	250	500	1000	2500	5000	1.93	1.88	1.82	1.77	1.74	1.70	3.38	3.29	3.20	3.11	3.05	2.99		
2023-09-18T11:27:09	2023-02-09T10:51:04	EUR	P453.42	P453.421	Delta vlieger, zwart		True	Screen Transfer OS,SilkScreen	1	1	100	250	500	1000	1500	4.47	4.36	4.24	4.12	4.04	3.96	7.85	7.65	7.44	7.23	7.09	6.95		
2023-09-18T11:27:09	2023-04-18T14:13:19	EUR	P453.43	P453.431	Badminton set, zwart			Screen Transfer OS	1	1	100	250	500	1000	1500	4.47	4.36	4.24	4.12	4.04	3.96	7.85	7.65	7.44	7.23	7.09	6.95		
2023-09-18T11:27:09	2022-10-24T15:18:10	EUR	P453.44	P453.441	Impact AWARE™ Polylana® gebreide sjaal 180x25cm, zwart			Embroidery,Leather badge,Printed badge	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-10-24T15:18:10	EUR	P453.44	P453.442	Impact AWARE™ Polylana® gebreide sjaal 180x25cm, grijs			Embroidery,Leather badge,Printed badge	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-10-24T15:18:10	EUR	P453.44	P453.445	Impact AWARE™ Polylana® gebreide sjaal 180x25cm, blauw			Embroidery,Leather badge,Printed badge	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-10-24T15:18:11	EUR	P453.44	P453.447	Impact AWARE™ Polylana® gebreide sjaal 180x25cm, groen			Embroidery,Leather badge,Printed badge	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-09-29T12:31:44	EUR	P453.45	P453.451	No Fear Fiber Glass Padel Racket, zwart	True		Pad Print	1	1						34.97						49.95							
2023-09-18T11:27:09	2023-03-24T10:13:07	EUR	P453.30	P453.460	Impact AWARE™ 6 panel 280gr gerecycled katoenen cap, lavender			Embroidery,Digital Transfer OS,Screen Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.51	2.44	2.37	2.31	2.26	2.22	4.40	4.28	4.16	4.05	3.97	3.89		
2023-09-18T11:27:09	2023-03-24T10:13:07	EUR	P453.30	P453.464	Impact AWARE™ 6 panel 280gr gerecycled katoenen cap, rood			Embroidery,Digital Transfer OS,Screen Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.51	2.44	2.37	2.31	2.26	2.22	4.40	4.28	4.16	4.05	3.97	3.89		
2023-09-18T11:27:09	2023-03-24T10:13:07	EUR	P453.30	P453.465	Impact AWARE™ 6 panel 280gr gerecycled katoenen cap, blauw			Embroidery,Digital Transfer OS,Screen Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.51	2.44	2.37	2.31	2.26	2.22	4.40	4.28	4.16	4.05	3.97	3.89		
